h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1992. január 25 - 1992. december 31.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,YouTube beágyazás link,Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
Have You Ever? - Brandy - 1998,"Az 1998-ban megjelenő, Have You Ever? című dal Brandy második stúdió albumán jelent meg. Sikerét mi se bizonyítja jobban, mint, hogy két hétig vezette a Billboard Hot 100-as listáját. ","A dal nemzetközi szinten is elismeréseket zsebelt be, a dal Új-Zélandon elérte az első helyezést, a csúcsra jutott Ausztrália első tízében, Kanadában és az Egyesült Királyságban is sikerült elérnie a top 20-at, Írországban pedig a top 30-at.",Have You Ever? a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-01-16?rank=1"",""Billboard Hot 100 (USA) - 1., 1999. január 16. - 1999. január 30."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/have%20you%20ever_qum_/"",""Official Charts (UK) - 13., 1998. december 12."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-16494"",""Offizielle Deutsche Charts (DE) - 58., 1999. január 25."")",Brandy Have You Ever? a YouTube oldalán,https://www.youtube.com/watch?v=UrNb397wS-A,https://youtu.be/UrNb397wS-A,2019. szeptember 28-án,"48,171,647 megtekintés",276K like,11K dislike,"8,477 komment",Brandy Have You Ever? című dalának adatai,Have You Ever?,Brandy, Never Say Never,Contemporary R&B,1998,Jelölés:  MTV Video Music Award: A legjobb R&B videó,Tudj meg még többet Brandy Have You Ever? című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Have_You_Ever%3F"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/448805242?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1Co6e9ag1gRKcWdG7xKcCi"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tgjsqfxlcaa5k7lqahqilfmgudy?play=1"",""Google Play"")",Brandy Have You Ever? dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/brandy/haveyouever.html"",""Brandy Have You Ever? dalszöveg"")"
Baby One More Time - Britney Spears - 1998,"One One Time Time"" 1998. október 23-án jelent meg a Jive Recordson keresztül. Legalább 18 országban, köztük az Egyesült Királyságban is elérte az első helyezést a top listákon. Az Egyesült Királyságban továbbá kettős platina minősítést kapott a Brit Fonográfiai Iparágtól. ","A dal minden idők egyik legkelendőbb kislemeze, több mint 10 millió példányban kelt el. A kísérő zenei videót, Nigel Dick rendezte, egy katolikus középiskolás diákként ábrázolja Spears-t, aki arról álmodozik, hogy az iskola körül énekel, miközben távolról figyeli szerelmét. ",Baby One More Time a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-01-30"",""Billboard Hot 100 (USA) - 1., 1999. január 30. - 1999. február 13."")",-,"=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3858"",""Offizielle Deutsche Charts (DE) - 1., 1999. február 22."")",Britney Spears Baby One More Time a YouTube oldalán,https://www.youtube.com/watch?v=C-u5WLJ9Yk4,https://youtu.be/C-u5WLJ9Yk4,2019. szeptember 28-án,"438,403,492 megtekintés",1.8M like,86K dislike,"103,725 komment",Britney Spears Baby One More Time című dalának adatai,Baby One More Time,Britney Spears,Baby One More Time,"Teen Pop, Pop",1998,,Tudj meg még többet Britney Spears Baby One More Time című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/...Baby_One_More_Time_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/94555728?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3WNxdumkSMGMJRhEgK80qx"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tczsss7udaevadjgr5j3ynefbry?play=1"",""Google Play"")",Britney Spears Baby One More Time dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/britneyspears/babyonemoretime.html"",""Britney Spears Baby One More Time dalszöveg"")"
Angel Of Mine - Monica - 1998,"Monica korábbi kislemezeinek, a The Boy Is Mine és a The First Night sikere után az Angel Of Mine című dal az album harmadik kiadása lett. Továbbá harmadik dala lett, mely elérte a Billboard Hot 100-as lista élét. ","A Angel of Mine című dal, Monica egyik legnagyobb nemzetközi sikere lett az 1990-es években, karrierjének hetedik legjobb slágere lett. ",Angel Of Mine a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-02-13"",""Billboard Hot 100 (USA) - 1., 1999. február 13. - 1999. március 13."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/angel%20of%20mine/"",""Official Charts (UK) - 55., 1999. szeptember 4."")",-,Monica Angel Of Mine a YouTube oldalán,https://www.youtube.com/watch?v=3eOuK-pYhy4,https://youtu.be/3eOuK-pYhy4,2019. szeptember 28-án,"73,673,726 megtekintés",328K like,13K dislike,"9,723 komment",Monica Angel Of Mine című dalának adatai,Angel Of Mine,Monica,The Boy Is Mine,Pop,1998,,Tudj meg még többet Monica Angel Of Mine című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Angel_of_Mine"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/94312656?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6mIyViyBHV4eoQqI4JZByh"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5rkdcz44slfubjgnpp45un73vq?play=1"",""Google Play"")",Monica Angel Of Mine dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/monica/angelofmine.html"",""Monica Angel Of Mine dalszöveg"")"
Believe - Cher - 1998,"A Believe című dal 1998-ban jelent meg, hatalmas sikert aratva. 1999. március 13-án elérte a Billboard Hot 100-as lista első helyét és hetekig vezette azt. ","A Believe című dal vidám tánc-pop stílusa felváltotta a korábbi rock-pop vonalát az énekesnőnek. Az Auto-Tune hangfeldolgozó szoftver úttörő felhasználásával egy szándékos vokális torzítás jött létre a dalban, amelyet Cher-effektusnak hívtak. ",Believe a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-03-13"",""Billboard Hot 100 (USA) - 1., 1999. március 13. - 1999. április 10."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/believe/"",""Official Charts (UK) - 1., 1998. október 31."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3781"",""Offizielle Deutsche Charts (DE) - 1., 1998. október 26."")",Cher Believe a YouTube oldalán,https://www.youtube.com/watch?v=nZXRV4MezEw,https://youtu.be/nZXRV4MezEw,2019. szeptember 28-án,"34,182,091 megtekintés",248K like,8.4K dislike,"9,142 komment",Cher Believe című dalának adatai,Believe,Cher,Believe,Dance-Pop,1998,,Tudj meg még többet Cher Believe című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Believe_(Cher_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/album/92071?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/0jZfbz0dNfDjPSg0hYJNth?autoplay=true&v=L"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/B64xp3j2nj5wbcaadwuy2jxgoyu?play=1"",""Google Play"")",Cher Believe dalszöveg,"=HYPERLINK(""https://genius.com/Cher-believe-lyrics"",""Cher Believe dalszöveg"")"
No Scrubs - TLC - 1999,A No Scrubs című dal nemzetközi sikert ért el. A Billboard Hot 100-as lista élét hetekig vezette. ,"A dalt Kevin ""She'kspere"" Briggs írta a korábbi Xscape tagok, Kandi Burruss és Tameka ""Tiny"" Cottle mellett. A No Scrubs volt az első alkalom, amikor a Rozonda ""Chilli"" Thomas az egyetlen főszereplője volt bármelyik TLC kislemezen.",No Scrubs a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-04-10"",""Billboard Hot 100 (USA) - 1., 1999. április 10. - 1999. május 8."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/no%20scrubs/"",""Official Charts (UK) - 3., 1999. május 3."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3879"",""Offizielle Deutsche Charts (DE) - 4., 1999. március 8."")",TLC No Scrubs a YouTube oldalán,https://www.youtube.com/watch?v=FrLequ6dUdM,https://youtu.be/FrLequ6dUdM,2019. szeptember 28-án,"179,157,468 megtekintés",1M like,43K dislike,"43,145 komment",TLC No Scrubs című dalának adatai,No Scrubs,TLC,FanMail,R&B,1999,,Tudj meg még többet TLC No Scrubs című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/No_Scrubs"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/81197258"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1CvjjpvqVMoyprsf74bpYW"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tn2jgub6hillh7otvaq4vzglrsy?lyrics=1"",""Google Play"")",TLC No Scrubs dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/tlc/noscrubs.html"",""TLC No Scrubs dalszöveg"")"
Livin' La Vida Loca - Ricky Martin - 1999,"Az albumot 1999. március 23-án adták ki Martin saját, angol nyelvű debütáló albumából (korábban már több albumot is kiadott spanyolul ). A Livin 'la Vida Loca több mint 8 millió példányban került értékesítésre, így minden idők egyik legkelendőbb kislemezének tartják. ",A dalt Desmond Child és Draco Rosa írta. A La Vida loca spanyolul őrült életet jelent. A Livin 'la Vida Loca című dalt mérföldkőnek tektintik a latin poprobbanás terén. ,Livin' La Vida Loca a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-05-08"",""Billboard Hot 100 (USA) - 1., 1999. május 8. - 1999. június 12."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/livin'%20la%20vida%20loca/"",""Official Charts (UK) - 1., 1999. június 17."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3906"",""Offizielle Deutsche Charts (DE) - 6., 1999. május 17."")",Ricky Martin Livin' La Vida Loca a YouTube oldalán,https://www.youtube.com/watch?v=p47fEXGabaY,https://youtu.be/p47fEXGabaY,2019. szeptember 28-án,"268,113,831 megtekintés",1M like,46K dislike,"40,708 komment",Ricky Martin Livin' La Vida Loca című dalának adatai,Livin' La Vida Loca,Ricky Martin,Ricky Martin,Pop,1999,,Tudj meg még többet Ricky Martin Livin' La Vida Loca című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Livin%27_la_Vida_Loca"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/81404842?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1k1Cr3nlJDa8pvwZUJ5xfj"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tvcfjgceavzxxef2kwydwyhe6u4?play=1"",""Google Play"")",Ricky Martin Livin' La Vida Loca dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/rickymartin/livinlavidaloca.html"",""Ricky Martin Livin' La Vida Loca dalszöveg"")"
If You Had My Love - Jennifer Lopez - 1999,"Az If You Had My Love című dal volt az amerikai színésznő és énekes Jennifer Lopez debütáló kislemeze. Ez lett az egyik legkelendőbb kislemez 1999-ben, több mint 1,2 millió darabot értékesítve csak az Egyesült Államokban.","A If You Had My Love című dal midtempo pop és R&B dal, melyben latin és hip-hop hatások is fellelhetőek. ",If You Had My Love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-06-12?rank=1"",""Billboard Hot 100 (USA) - 1., 1999. június 12. - 1999. július 17."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/if%20you%20had%20my%20love/"",""Official Charts (UK) - 4., 1999. július 3."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3947"",""Offizielle Deutsche Charts (DE) - 5., 1999. július 12."")",Jennifer Lopez If You Had My Love a YouTube oldalán,https://www.youtube.com/watch?v=lYfkl-HXfuU,https://youtu.be/lYfkl-HXfuU,2019. szeptember 29-én,"104,816,798 megtekintés",300K like,13K dislike,"14,475 komment",Jennifer Lopez If You Had My Love című dalának adatai,If You Had My Love,Jennifer Lopez,On the 6,R&B/Soul,1999,,Tudj meg még többet Jennifer Lopez If You Had My Love című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/If_You_Had_My_Love"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/79653560?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/43CV8Hxctvm8BUCesUaxMk"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tnfgtbp7gz5ucnohq6lkp2ekyeq?play=1"",""Google Play"")",Jennifer Lopez If You Had My Love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/jenniferlopez/ifyouhadmylove.html"",""Jennifer Lopez If You Had My Love dalszöveg"")"
"Bills, Bills, Bills - Destiny's Child - 1999","Az album vezető kislemezeként, 1999 júniusában jelent meg a Bills, Bills, Bills című dal. A dal 1999. július 17-én átvette a vezetést a Billboard Hot 100-as listán, egy hétig vezette azt. ","A zenei videó egy szépségszalonban készítették, melyel Beyonce édesanyjának akartak tisztelegni. ","Bills, Bills, Bills a zenei listákon","=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-07-17"",""Billboard Hot 100 (USA) - 1., 1999. július 17. - 1999. július 24."")",-,"=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3993"",""Offizielle Deutsche Charts (DE) - 19., 1999. augusztus 16."")","Destiny's Child Bills, Bills, Bills a YouTube oldalán",https://www.youtube.com/watch?v=NiF6-0UTqtc,https://youtu.be/NiF6-0UTqtc,2019. szeptember 29-én,"48,953,697 megtekintés",218K like,7.2 dislike,"11,273 komment","Destiny's Child Bills, Bills, Bills című dalának adatai","Bills, Bills, Bills",Destiny's Child,The Writing's on the Wall,R&B,1999,"Jelölés: Grammy-díj: A Legjobb R & B Performance duó vagy zenekar, ","Tudj meg még többet Destiny's Child Bills, Bills, Bills című daláról","=HYPERLINK(""https://en.wikipedia.org/wiki/Bills,_Bills,_Bills"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/13140113?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/52rN7CpWQvpvW4u6vWuhgs"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Taxbkmzazh2yu4iko23dgziaos4?play=1"",""Google Play"")","Destiny's Child Bills, Bills, Bills dalszöveg","=HYPERLINK(""https://genius.com/Destinys-child-bills-bills-bills-lyrics"",""Destiny's Child Bills, Bills, Bills dalszöveg"")"
"Wild Wild West - Will Smith ft. Dru Hill, Kool Moe Dee - 1999","A Wild Wild West című dalt, 1999. május 4-én adták ki Will Smith második stúdióalbumának, a Willenniumnak (1999) vezető kislemezrként. A dal egy hétig vezette a Billboard Hot 100-as listát.","A Wild Wild West című dal, azonos című film betétdala, melyben Will Smith alakítja a főszereplőt. ",Wild Wild West a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-07-24?rank=1"",""Billboard Hot 100 (USA) - 1., 1999. július 24. - 1999. július 31."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/wild%20wild%20west/"",""Official Charts (UK) - 2., 1999. július 10."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3952"",""Offizielle Deutsche Charts (DE) - 3., 1999. július 5."")","Will Smith ft. Dru Hill, Kool Moe Dee Wild Wild West a YouTube oldalán",https://www.youtube.com/watch?v=_zXKtfKnfT8,https://youtu.be/_zXKtfKnfT8,2019. szeptember 29-én,"23,021,233 megtekintés",145K like,4.5K dislike,"6,410  komment","Will Smith ft. Dru Hill, Kool Moe Dee Wild Wild West című dalának adatai",Wild Wild West,"Will Smith ft. Dru Hill, Kool Moe Dee",Willennium,"East Coast Hip-Hop, Hip-Hop/Rap",1999,,"Tudj meg még többet Will Smith ft. Dru Hill, Kool Moe Dee Wild Wild West című daláról","=HYPERLINK(""https://en.wikipedia.org/wiki/Wild_Wild_West_(Will_Smith_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/2453348?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/38ZO2nTo4L4PNtubKwtiAk"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tqhgg2dtazi4ruxhvfuismiuoc4?play=1"",""Google Play"")","Will Smith ft. Dru Hill, Kool Moe Dee Wild Wild West dalszöveg","=HYPERLINK(""https://genius.com/Will-smith-wild-wild-west-lyrics"",""Will Smith ft. Dru Hill, Kool Moe Dee Wild Wild West dalszöveg"")"
Genie In A Bottle - Christina Aguilera - 1999,"A Genie In A Bottle című dalt 1999. június 22-én adta ki az RCA Records, mint az album vezető kislemezét. A Billboard Hot 100-as lista élére is felkerült. ","A dal nem csak nemzetközileg lett sikeres, de az USA-ban platina lemezt ért el, több mint 1,4 millió eladott példány után. ",Genie In A Bottle a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-07-31?rank=1"",""Billboard Hot 100 (USA) - 1., 1999. július 31. - 1999. szeptember 4."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/genie%20in%20a%20bottle/"",""Official Charts (UK) - 1., 1999. október 16."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3984"",""Offizielle Deutsche Charts (DE) - 2., 1999. augusztus 16."")",Christina Aguilera Genie In A Bottle a YouTube oldalán,https://www.youtube.com/watch?v=kIDWgqDBNXA,https://youtu.be/kIDWgqDBNXA,2019. szeptember 29-én,134 602 138 megtekintés,560K like,21K dislike,34 004 komment,Christina Aguilera Genie In A Bottle című dalának adatai,Genie In A Bottle,Christina Aguilera,Christina Aguilera,Pop,1999, ALMA-díj: A kiemelkedő zenei video-előadók számára,Tudj meg még többet Christina Aguilera Genie In A Bottle című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Genie_in_a_Bottle"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/140929043?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6fpPZS13ImRVpr7Tqs6yP9"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tbhsbwrlojgyyvs6fw5fjpr2k7a?play=1"",""Google Play"")",Christina Aguilera Genie In A Bottle dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/christinaaguilera/genieinabottle.html"",""Christina Aguilera Genie In A Bottle dalszöveg"")"
Bailamos - Enrique Iglesias - 1998,"Az 1998-ban megjelent Bailamos című dal, Enrique Iglesias első kislemeze volt, mely hatalmas sikert aratott az angol piacon. 1999. szeptember 4-én elérte az első helyet a Billboard Hot 100-as listán. ","A dal először a spanyol Cosas del Amor stúdióalbumának korlátozott kiadásában jelent meg Latin-Amerika és Európa részein.1999. márciusában, Will Smith felkérte Enrique-t, hogy járuljon hozzá a közelgő filmjének a Wild Wild West zenei listájáthoz, így a Bailamos című dal megjelent az Egyesült Államokban is. ",Bailamos a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-09-04"",""Billboard Hot 100 (USA) - 1., 1999. szeptember 4. - 1999. szeptember 18."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/bailamos/"",""Official Charts (UK) - 4., 1999. augusztus 28."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3951"",""Offizielle Deutsche Charts (DE) - 10., 1999. augusztus 23."")",Enrique Iglesias Bailamos a YouTube oldalán,https://www.youtube.com/watch?v=Pv0PAchVGCw,https://youtu.be/Pv0PAchVGCw,2019. szeptember 29-én,"43,999,055 megtekintés",142K like,5K dislike,"5,490 komment",Enrique Iglesias Bailamos című dalának adatai,Bailamos,"Enrique Iglesias",Cosas del Amor,Pop,1998,,Tudj meg még többet Enrique Iglesias Bailamos című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Bailamos"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/17607291?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4FfebQoWeS5Cz5NHBqdMol"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tvud4jlkiamjvcz3vad4e27te2i?play=1"",""Google Play"")",Enrique Iglesias Bailamos dalszöveg,"=HYPERLINK(""https://genius.com/Enrique-iglesias-bailamos-lyrics"",""Enrique Iglesias Bailamos dalszöveg"")"
Unpretty - TLC - 1999,"Az Unpretty című dal a zenekar harmadik stúdió-albumának, a FanMailnek kislemeze, mely hatalmas sikert aratott. Három hétig vezette a Billboard Hot 100-as listáját. ","A dal az együttes utols amerikai kislemeze. Számos díjra jelölték, köztük az év dalának is. ",Unpretty a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-09-18"",""Billboard Hot 100 (USA) - 1., 1999. szeptember 18. - 1999. oktber 9."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/unpretty/"",""Official Charts (UK) - 6., 1999. augusztus 28."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-3991"",""Offizielle Deutsche Charts (DE) - 16., 1999. augusztus 16."")",TLC Unpretty a YouTube oldalán,https://www.youtube.com/watch?v=g2gy1Evb1Kg,https://youtu.be/g2gy1Evb1Kg,2019. szeptember 29-én,"39,376,752 megtekintés",203K like,6.9K dislike,"11,492 komment",TLC Unpretty című dalának adatai,Unpretty,TLC,FanMail,Contemporary R&B,1999,Jelölés: Grammy-díj: Az Év Dala,Tudj meg még többet TLC Unpretty című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Unpretty"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/71419491?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/04LFXnEBkVE6mZfxGeCLbM"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tvkeexxy43n6vvs4q4rxl5ohfhq?play=1"",""Google Play"")",TLC Unpretty dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/tlc/unpretty.html"",""TLC Unpretty dalszöveg"")"
Heartbreaker - Mariah Carey feat Jay-Z - 1999,"Az Egyesült Államokban a Heartbreaker, 1999. szeptember 21-én jelent meg. Az énekes 11. dala, amely felkerült a Billboard Hot 100-as lista élére. "," A dalt Carey és Shawn Jay-Z Carter írta, és Carey és DJ Clue készítette . A Heartbreaker című dal vegyes értékeléseket kapott a zenekritikusoktól, sokan úgy érezték, hogy nem elég eredeti vagy innovatív dal. ",Heartbreaker a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-10-09"",""Billboard Hot 100 (USA) - 1., 1999. október 9. - 1999. oktber 23."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/heartbreaker/"",""Official Charts (UK) - 5., 1999. november 6."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-4020"",""Offizielle Deutsche Charts (DE) - 9., 1999. október 18."")",Mariah Carey feat Jay-Z Heartbreaker a YouTube oldalán,https://www.youtube.com/watch?v=kMCGvtlL4fw,https://youtu.be/kMCGvtlL4fw,2019. szeptember 29-én,"29,601,737 megtekintés",148K like,8.1K dislike,"6,928 komment",Mariah Carey feat Jay-Z Heartbreaker című dalának adatai,Heartbreaker,Mariah Carey feat Jay-Z,Rainbow,Contemporary R&B,1999,,Tudj meg még többet Mariah Carey feat Jay-Z Heartbreaker című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Heartbreaker_(Mariah_Carey_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/624997?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1iSTXHBhLc9ImaqyvVZGft"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tdt75mojp7onspij3kxxplurmym?play=1"",""Google Play"")",Mariah Carey feat Jay-Z Heartbreaker dalszöveg,"=HYPERLINK(""https://genius.com/Mariah-carey-heartbreaker-lyrics"",""Mariah Carey feat Jay-Z Heartbreaker dalszöveg"")"
Smooth - Santana Feat Rob Thomas - 1999,"Az 1999-es megjelenésű dalt, Itaal Shur és Thomas írta, Matt Serletic készítette. 12 hétig uralta a Billboard Hot 100-as listáját. ",A dal az 1990-es és a 2000-es évek első számú slágere és az egyetlen mely mind a két évtizedben vezette a Billboard Hot 100-a listáját. ,Smooth a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1999-10-23"",""Billboard Hot 100 (USA) - 1., 1999. október 23. - 2000. január 15."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/smooth/"",""Official Charts (UK) - 3., 1999. október 23."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-4143"",""Offizielle Deutsche Charts (DE) - 21., 1999. november 1."")",Santana Feat Rob Thomas Smooth a YouTube oldalán,https://www.youtube.com/watch?v=6Whgn_iE5uc,https://youtu.be/6Whgn_iE5uc,2019. szeptember 29-én,"167,628,896 megtekintés",751K like,29K dislike,"17,165 komment",Santana Feat Rob Thomas Smooth című dalának adatai,Smooth,Santana Feat Rob Thomas,Supernatural,"Spanish Rock, Rock",1999,,Tudj meg még többet Santana Feat Rob Thomas Smooth című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Smooth_(song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/en/track/70222366?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6FbFvnlSfEoNhwz5MdK0Dx"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5h723wzqaostilhlgecfvx5ayy?play=1"",""Google Play"")",Santana Feat Rob Thomas Smooth dalszöveg,"=HYPERLINK(""https://genius.com/Santana-smooth-lyrics"",""Santana Feat Rob Thomas Smooth dalszöveg"")"
